instrument_id,instrument_key,symbol,series,exchange,company_name,sector,isin_code,is_active
1133,NSE_EQ|INE220Z01013,SHINDL,EQ,NSE,SHARAT INDUSTRIES LTD.,Others,INE220Z01013,True
6959,NSE_EQ|INE788J01021,SHIVALIK,BE,NSE,SHIVALIK RASAYAN LIMITED,Others,INE788J01021,True
2844,NSE_EQ|INE637H01024,SHIVAMAUTO,BE,NSE,SHIVAM AUTO.LTD,Others,INE637H01024,True
4295,NSE_EQ|INE644Y01017,SHIVAMILLS,BE,NSE,SHIVA MILLS LIMITED,Others,INE644Y01017,True
9014,NSE_EQ|INE1DLF01018,SHIVASHRIT,SM,NSE,SHIVASHRIT FOODS LIMITED,Others,INE1DLF01018,True
861,NSE_EQ|INE705C01020,SHIVATEX,EQ,NSE,SHIVA TEXYARN LIMITED,Others,INE705C01020,True
1239,NSE_EQ|INE719F01016,SHIVAUM,EQ,NSE,SHIV AUM STEELS LIMITED,Others,INE719F01016,True
643,NSE_EQ|INE500L01026,SHK,EQ,NSE,S H KELKAR AND CO. LTD.,Others,INE500L01026,True
4003,NSE_EQ|INE0NON01025,SHKSIL,SM,NSE,SHRI HARE-KRI SPO IRON L,Others,INE0NON01025,True
2011,NSE_EQ|INE498B01024,SHOPERSTOP,EQ,NSE,SHOPPERS STOP LIMITED,Others,INE498B01024,True
826,NSE_EQ|INE715Y01031,SHRADHA,EQ,NSE,SHRADHA REALTY LIMITED,Others,INE715Y01031,True
1308,NSE_EQ|INE232A01011,SHREDIGCEM,EQ,NSE,SHREE DIGVIJAY CEM CO LTD,Others,INE232A01011,True
414,NSE_EQ|INE070A01015,SHREECEM,EQ,NSE,SHREE CEMENT LIMITED,Construction Materials,INE070A01015,True
1650,NSE_EQ|INE1B6101010,SHREEJISPG,EQ,NSE,SHREEJI SHIPPING GLOBAL L,Others,INE1B6101010,True
8392,NSE_EQ|INE0S4Y01010,SHREEKARNI,SM,NSE,SHREE KARNI FABCOM LTD,Others,INE0S4Y01010,True
7912,NSE_EQ|INE02S501018,SHREEOSFM,SM,NSE,SHREE OSFM E-MOBILITY LTD,Others,INE02S501018,True
1478,NSE_EQ|INE712K01011,SHREEPUSHK,EQ,NSE,SHRE PUSH CHEM & FERT LTD,Others,INE712K01011,True
566,NSE_EQ|INE879A01019,SHREERAMA,EQ,NSE,SHREE RAMA MULTI TECH LTD,Others,INE879A01019,True
7806,NSE_EQ|INE0GTI23014,SHREMINVIT,IV,NSE,SHREM INVIT,Others,INE0GTI23014,True
7156,NSE_EQ|INE632X01030,SHRENIK,BZ,NSE,SHRENIK LIMITED,Others,INE632X01030,True
1435,NSE_EQ|INE231C01019,SHREYANIND,EQ,NSE,SHREYANS INDUSTRIES LTD,Others,INE231C01019,True
5993,NSE_EQ|INE0DM401012,SHRIAHIMSA,ST,NSE,SHRI AHIMSA NATURALS LTD,Others,INE0DM401012,True
5505,NSE_EQ|INE1V4601019,SHRIKANHA,ST,NSE,SHRI KANHA STAINLESS LTD,Others,INE1V4601019,True
1506,NSE_EQ|INE997I01012,SHRIKRISH,EQ,NSE,SHRI KRISHNA DEVCON LTD.,Others,INE997I01012,True
1945,NSE_EQ|INE1B3L01017,SHRINGARMS,EQ,NSE,SHRINGAR HOU OF MANGALS L,Others,INE1B3L01017,True
